Date,Open,High,Low,Close,Adj Close,Volume
2006-06-01,31.950001,32.869999,29.389999,32.099998,22.699385,122559500
2006-07-01,32.240002,32.520000,29.920000,30.900000,21.997797,80309900
2006-08-01,30.900000,31.959999,30.510000,31.830000,22.659855,70156600
2006-09-01,31.860001,32.490002,30.670000,31.639999,22.524595,75883700
2006-10-01,31.500000,33.689999,30.930000,33.540001,24.017275,63491100
2006-11-01,33.540001,35.080002,33.119999,35.000000,25.062746,57083100
2006-12-01,34.910000,35.639999,34.389999,34.840000,24.948181,55680500
2007-01-01,34.849998,36.650002,33.970001,36.250000,26.241777,78582100
2007-02-01,36.630001,39.160000,36.369999,37.220001,26.943974,111059500
2007-03-01,36.500000,38.950001,34.480000,38.049999,27.544825,121135300
2007-04-01,38.020000,39.599998,37.770000,38.619999,27.993340,59524300
2007-05-01,38.590000,41.090000,38.130001,40.900002,29.645979,85408000
2007-06-01,41.000000,41.919998,39.250000,40.500000,29.356045,101539000
2007-07-01,40.830002,43.259998,38.840000,39.419998,28.701942,145242200
2007-08-01,39.380001,40.299999,34.630001,39.150002,28.505350,224244200
2007-09-01,39.270000,42.990002,37.970001,42.110001,30.660553,150566800
2007-10-01,42.150002,44.139999,40.790001,43.860001,32.081112,172480700
2007-11-01,43.740002,43.740002,38.000000,41.650002,30.464632,263373100
2007-12-01,41.900002,43.720001,40.070000,41.700001,30.501202,118435400
2008-01-01,41.700001,42.169998,34.650002,39.950001,29.499069,359324000
2008-02-01,40.759998,42.880001,38.040001,40.869999,30.178406,261030600
2008-03-01,40.990002,41.950001,37.099998,40.169998,29.661522,391526400
2008-04-01,40.529999,44.619999,39.720001,42.310001,31.339254,259840300
2008-05-01,42.189999,46.540001,41.340000,44.509998,32.968815,222217500
2008-06-01,44.330002,45.509998,41.279999,41.730000,30.909645,215380600
2008-07-01,41.119999,41.520000,37.980000,40.380001,30.046703,289910400
2008-08-01,40.380001,40.450001,37.560001,39.750000,29.577915,204600500
